mc_run_id,grouping,mean_ghgs,mean_land,mean_watscar,mean_eut,mean_ghgs_ch4,mean_ghgs_n2o,mean_bio,mean_watuse,mean_acid,sd_ghgs,sd_land,sd_watscar,sd_eut,sd_ghgs_ch4,sd_ghgs_n2o,sd_bio,sd_watuse,sd_acid,n_participants,sex,diet_group,age_group
207,meat <50_male_70-79,5.951854008,7.659300633,16177.01174,26.7719425,1.097686738,0.333797866,248.216227,811.2422258,28.4369886,1.707322801,2.184539457,5212.309538,7.188281504,0.384414765,0.083779283,100.5941532,377.0417869,8.380998923,143,male,meat50,70-79
207,meat 100+_female_20-29,8.475425746,11.77095154,21272.70353,42.63226059,1.962476653,0.609175036,257.1555931,1065.241608,37.18109314,2.068370422,3.574331913,5998.528882,10.38248181,0.689611836,0.172561915,95.59115272,475.784379,9.251379021,393,female,meat100,20-29
207,meat 100+_female_30-39,8.421540873,11.99131096,21478.77952,42.14963973,2.014466455,0.572172156,257.6145092,1044.336299,37.07101638,2.050684399,3.737591675,6041.800594,10.27099029,0.706067589,0.143351907,93.85477271,451.6830865,8.745541879,778,female,meat100,30-39
207,meat 100+_female_40-49,8.746015659,12.87172937,21495.79313,42.53484701,2.18265104,0.5810154,262.7718062,1016.831662,36.90367102,2.068825175,3.860699519,5976.309436,10.16284192,0.730155539,0.147745851,91.24425067,490.6743782,8.524427458,1935,female,meat100,40-49
207,meat 100+_female_50-59,8.886440492,13.21228316,22093.46451,42.53754774,2.24835651,0.5812182,266.2489897,1029.32246,37.36158995,2.04075586,3.80935493,5874.359974,9.747129265,0.716321463,0.137345068,94.64885168,410.2319443,8.859678362,1753,female,meat100,50-59
207,meat 100+_female_60-69,8.881931521,13.21645153,22423.24656,41.84269904,2.240379774,0.57930949,262.4160105,1034.992499,37.24583903,2.224973539,4.296869046,6497.859189,11.19505461,0.789518777,0.149698582,90.52895097,442.2794807,8.829729351,843,female,meat100,60-69
207,meat 100+_female_70-79,9.076491807,13.87997256,23070.38112,42.42722167,2.402210552,0.600551321,276.459969,1013.267274,38.3028255,2.623916134,5.202444319,6985.633441,12.24633262,1.028271687,0.172072416,94.39244447,417.4353058,9.610709799,274,female,meat100,70-79
207,meat 100+_male_20-29,9.851071993,14.00184574,22774.49493,48.52174005,2.390812152,0.712456593,283.4574898,1119.403191,42.77138517,2.731193104,4.591103075,6291.691218,12.93401693,0.8441941,0.250554217,91.28724211,507.1116139,11.60457671,132,male,meat100,20-29
207,meat 100+_male_30-39,9.063137591,12.99792671,21973.55514,45.6135335,2.169111594,0.636805483,264.9840633,1073.239719,38.98146187,2.356466688,4.22152745,6908.588409,12.35301871,0.83159217,0.185163175,82.49850413,506.7768953,10.52561928,260,male,meat100,30-39
207,meat 100+_male_40-49,9.101074149,13.45966938,20534.71367,43.83814573,2.269652695,0.60649909,269.3192927,961.361539,38.21382623,2.157034267,3.843276821,5241.340811,10.05547495,0.721145586,0.154237725,93.95704749,375.8373963,8.766748468,616,male,meat100,40-49
